encoderB;encoderC;velocidad
31.3112;31.3112;60
31.4201;31.4201;60
31.529;31.529;60
31.529;31.5835;60
31.6379;31.5835;60
31.7468;31.8013;60
31.9647;31.9102;60
32.0736;32.0191;60
32.128;32.0191;60
32.2369;32.2369;60
32.3458;32.3458;60
32.3458;32.727;60
32.7815;32.727;60
32.8904;32.8359;60
33.0537;32.9993;60
33.1627;33.1082;60
33.1627;33.1082;60
33.2716;33.2171;60
33.3805;33.326;60
33.5983;33.5438;60
33.5983;33.5438;60
33.7617;33.7072;60
33.8706;33.8161;60
33.9795;33.925;60
33.9795;33.925;60
34.1428;34.0884;60
34.2517;34.1973;60
34.3606;34.3062;60
34.3606;34.3062;60
34.4696;34.5785;60
34.7418;34.6874;60
34.8507;34.7963;60
34.8507;34.7963;60
35.0686;35.0141;60
35.1775;35.0686;60
35.2319;35.2864;60
35.3408;35.3953;60
35.4497;35.3953;60
35.6675;35.6131;60
35.7765;35.6675;60
35.7765;35.7765;60
35.8309;35.7765;60
35.9398;35.8854;60
35.9398;35.9943;60
36.1576;36.1576;60
36.2665;36.1576;60
36.4299;36.3755;60
36.5388;36.4844;60
36.5388;36.5933;60
36.6477;36.5933;60
36.8111;36.7566;60
36.92;36.8655;60
37.0289;36.9745;60
37.0289;37.0834;60
37.2467;37.1923;60
37.3012;37.2467;60
37.4101;37.3556;60
37.4101;37.4645;60
37.6279;37.5734;60
37.7368;37.6824;60
37.7913;37.7913;60
37.9002;37.7913;60
38.0091;37.9546;60
38.118;38.0635;60
38.3358;38.2814;60
38.3358;38.2814;60
38.3903;38.3903;60
38.4992;38.4992;60
38.717;38.6625;60
38.717;38.7714;60
38.8259;38.7714;60
38.8804;38.9893;60
39.0982;39.0982;60
39.0982;39.2071;60
39.2071;39.2071;60
39.3704;39.3704;60
39.4793;39.4793;60
39.4793;39.5883;60
39.5883;39.5883;60
39.8061;39.7516;60
39.915;39.8605;60
39.9694;39.9694;60
39.9694;40.0783;59.9927
40.1873;40.1873;59.9585
40.2962;40.2962;59.8962
40.4051;40.3506;59.8546
40.6229;40.5684;59.6183
40.6773;40.6773;59.4587
40.6773;40.7862;59.2716
40.8952;40.8407;59.1678
41.0041;40.9496;58.9399
41.113;41.0585;58.6852
41.1674;41.2763;58.0964
41.3853;41.3853;57.763
41.3853;41.4942;57.4041
41.6031;41.4942;57.4041
41.712;41.6575;56.819
41.7664;41.7664;56.3984
41.8753;41.8753;55.9539
41.9842;41.9842;55.486
42.2021;42.2021;54.4824
42.2021;42.2021;54.4824
42.2565;42.2565;54.2178
42.3654;42.4743;53.1069
42.5832;42.5832;52.521
42.8011;42.8011;51.292
42.91;42.91;50.6503
42.91;42.9644;50.323
43.0733;43.0733;49.6558
43.1822;43.1822;48.9727
43.2911;43.2911;48.2744
43.4001;43.3456;47.9198
43.5634;43.5634;46.4676
43.6723;43.6723;45.7227
43.6723;43.8357;44.5842
43.8357;43.8357;44.5842
43.9446;43.9446;43.8125
44.1624;44.108;42.6381
44.2169;44.2169;41.8453
44.3258;44.3258;41.0456
44.3258;44.4347;40.24
44.4891;44.4347;40.24
44.707;44.707;38.2064
44.7614;44.7614;37.7972
44.8703;44.8703;36.9775
44.9792;44.9792;36.1566
45.0337;45.0337;35.746
45.1426;45.1426;34.9252
45.197;45.197;34.5153
45.306;45.306;33.6967
45.4149;45.4693;32.4742
45.5782;45.5782;31.6642
45.6327;45.6327;31.261
45.6327;45.7416;30.459
45.7416;45.7416;30.459
45.8505;45.905;29.2684
45.9594;45.9594;28.8753
46.0139;46.0683;28.0955
46.1228;46.1228;27.709
46.2317;46.2861;26.5645
46.2317;46.3406;26.1884
47.8653;47.8653;17.1977
47.9198;47.9198;16.9453
47.9742;48.0287;16.4573
48.1376;48.1376;15.9922
48.192;48.192;15.7684
48.2465;48.2465;15.5505
48.3009;48.3554;15.1327
48.3554;48.3554;15.1327
48.4643;48.4643;14.7394
48.5188;48.5188;14.552
48.5732;48.5732;14.3709
48.6277;48.6277;14.1962
48.6821;48.6821;14.0278
48.6821;48.7366;13.8658
48.7366;48.791;13.7104
48.791;48.8455;13.5614
48.8455;48.8999;13.419
48.8999;48.9544;13.2832
48.8999;49.0088;13.1541
48.8999;49.0088;13.1541
49.0088;49.0088;13.1541
49.0088;49.1178;12.916
49.0633;49.1722;12.807
49.1178;49.2267;12.7048
49.1178;49.2267;12.7048
49.2267;49.3356;12.521
49.2267;49.3356;12.521
49.2811;49.3356;12.521
49.3356;49.4445;12.3646
49.39;49.4989;12.2967
49.4445;49.5534;12.2358
49.4989;49.6078;12.1819
49.4989;49.6078;12.1819
49.4989;49.6078;12.1819
49.6078;49.7168;12.095
49.6623;49.7712;12.062
49.6623;49.7712;12.062
49.7168;49.8257;12.036
49.7712;49.8801;12.017
49.7712;49.8801;12.017
49.8257;49.8801;12.017
49.8257;49.9346;12.0051
49.8801;49.989;12.0001
49.9346;49.989;12.0001
49.9346;49.989;12.0001
49.989;50.0435;12.0022
420.301
